price,make,model,year
10500,dodge,door,2014
43500,chevrolet,2500,2018
4610,dodge,van,2016
3450,ford,door,2012
38500,chevrolet,suburban,2018
6810,ford,mpv,2016
2900,ford,cargo,2011
43500,chevrolet,2500,2018
4450,ford,mpv,2016
5800,ford,door,2011
16500,chevrolet,equinox,2018
4240,dodge,mpv,2016
26500,ford,pickup,2008
13700,chevrolet,equinox,2017
8600,ford,door,2016
8000,ford,chassis,2008
14200,chevrolet,equinox,2017
7040,ford,mpv,2016
4700,ford,chassis,2005
30851,chevrolet,door,2016
4880,ford,mpv,2016
14500,dodge,pickup,2006
7600,chevrolet,door,2017
13270,ford,door,2016
12800,ford,door,2012
33000,chevrolet,1500,2018
9280,ford,door,2016
900,ford,van,2003
7560,ford,door,2016
19500,ford,drw,2011
17100,chevrolet,malibu,2019
8020,ford,door,2016
10300,ford,fiesta,2019
22600,chevrolet,van,2019
10480,ford,doors,2016
10300,ford,fiesta,2019
22700,chevrolet,van,2019
7410,ford,door,2016
10300,ford,fiesta,2019
10300,chevrolet,door,2013
7570,ford,door,2016
67000,dodge,challenger,2019
18900,chevrolet,impala,2019
12560,ford,doors,2019
33000,dodge,durango,2019
18300,chevrolet,impala,2019
11760,ford,cab,2017
31700,dodge,durango,2019
25,dodge,door,2007
0,ford,door,2000
7340,ford,doors,2019
8200,hyundai,door,2017
3000,kia,door,2013
6530,jeep,mpv,2019
0,mazda,door,2009
12700,kia,soul,2019
13800,kia,sorento,2017
0,chevrolet,pickup,1998
725,ford,door,2017
7400,ford,doors,2019
9800,hyundai,elantra,2017
0,honda,door,2003
4400,jeep,mpv,2019
10330,infiniti,mpv,2019
1800,chevrolet,door,2011
50,chevrolet,door,2008
720,ford,wagon,2006
22800,ford,door,2017
2500,ford,door,2017
0,ford,door,2003
9190,gmc,mpv,2017
10900,jeep,mpv,2019
10400,infiniti,mpv,2019
0,chevrolet,door,2004
0,chevrolet,door,2003
7320,chevrolet,pickup,2008
22809,ford,f-150,2017
0,ford,van,1998
0,ford,door,2013
5520,gmc,mpv,2017
10900,jeep,mpv,2019
6330,jeep,mpv,2019
0,chevrolet,door,2009
25,chevrolet,pickup,2010
2320,dodge,door,2007
23702,ford,door,2017
0,ford,chassis,1994
0,ford,door,1997
5520,gmc,mpv,2017
4050,heartland,pioneer,2018
14810,infiniti,mpv,2019
25,chevrolet,door,2011
2960,chrysler,van,2008
24800,ford,door,2017
0,ford,door,1996
0,ford,door,2006
6270,gmc,mpv,2017
1880,heartland,trail,2012
10050,infiniti,mpv,2019
225,chevrolet,door,2014
26900,chevrolet,traverse,2018
1420,chrysler,door,2007
27003,ford,door,2017
0,ford,door,2002
350,ford,door,2004
5600,gmc,mpv,2017
6680,heartland,country,2011
10120,infiniti,mpv,2019
0,chevrolet,door,2010
3920,ford,door,2015
23100,ford,door,2017
0,gmc,door,2004
5630,gmc,mpv,2017
0,heartland,sundance,2009
2800,jaguar,doors,2019
0,chevrolet,door,2008
8850,ford,door,2015
18712,ford,f-150,2017
0,ford,pickup,2009
0,ford,door,2009
6300,gmc,mpv,2017
2220,heartland,country,2010
6930,jeep,mpv,2019
25,chevrolet,door,2008
3440,ford,door,2015
50412,ford,door,2017
25,ford,pickup,1994
950,ford,pk,2001
9270,gmc,mpv,2017
11380,jeep,mpv,2019
5350,hyundai,mpv,2019
2725,chevrolet,door,2004
3790,ford,door,2015
40514,ford,door,2017
0,ford,door,1997
0,ford,door,1998
9190,gmc,mpv,2017
10330,infiniti,mpv,2019
1000,acura,door,2008
2925,bmw,door,2013
3830,ford,door,2015
43402,ford,door,2017
1025,gmc,door,2009
17200,honda,van,2016
54680,harley-davidson,road/street,2016
6940,honda,door,2010
13080,infiniti,mpv,2019
25,chevrolet,door,2007
10630,ford,door,2015
43009,ford,door,2017
25,gmc,door,2003
4600,ford,pickup,2006
4950,honda,mpv,2016
3760,hyundai,doors,2019
3900,acura,door,2009
0,cadillac,coupe,2000
3830,ford,door,2015
53500,ford,door,2017
25,ford,door,2010
25,ford,door,1998
6240,honda,door,2015
4150,jeep,door,2014
25,jeep,door,1999
61200,bmw,series,2020
0,buick,door,2006
13500,bmw,series,2014
6490,ford,door,2015
51502,ford,door,2017
250,ford,door,2010
25,ford,door,1984
8160,honda,van,2015
7770,jeep,door,2014
200,jeep,door,2001
25,audi,door,2008
0,chevrolet,door,1995
1825,bmw,coupe,2008
39800,bmw,series,2017
9210,ford,door,2015
58500,ford,srw,2019
125,ford,door,2014
3960,honda,door,2015
5998,hyundai,doors,2014
3700,honda,doors,2014
0,kia,wagon,2008
0,audi,door,2005
0,bmw,door,2000
5000,gmc,door,2012
15050,infiniti,mpv,2019
3960,hyundai,doors,2019
36300,lincoln,nautilus,2019
55600,lexus,gx,2020
2630,nissan,doors,2018
5690,nissan,mpv,2017
19500,audi,q5,2017
450,chevrolet,coupe,2008
20400,cadillac,door,2015
4320,chevrolet,door,2011
33001,ford,f-150,2017
10000,ford,door,2017
0,ford,door,2004
5790,gmc,door,2012
14750,infiniti,mpv,2019
4010,hyundai,doors,2019
40000,mercedes-benz,gle,2019
13000,kia,sportage,2017
3550,nissan,doors,2018
3040,nissan,doors,2017
0,chevrolet,coupe,2008
36400,audi,5,2015
4480,ford,door,2011
31003,ford,door,2017
75,ford,pickup,2001
8850,gmc,door,2011
14750,infiniti,mpv,2019
4690,hyundai,mpv,2019
23000,land,sport,2018
46900,land,discovery,2018
10740,mercedes-benz,doors,2018
3160,nissan,doors,2017
0,chevrolet,door,2006
3450,chrysler,door,2011
27102,ford,f-150,2017
500,gmc,door,2018
5100,gmc,door,2011
15010,infiniti,mpv,2019
5800,jeep,mpv,2019
23200,land,sport,2018
8000,hyundai,door,2015
3390,nissan,doors,2018
3140,nissan,doors,2017
25,chevrolet,door,2007
15000,bmw,door,2014
10440,chevrolet,cab,2011
23911,ford,f-150,2017
25,ford,pk,2010
21400,gmc,acadia,2018
5380,gmc,cab,2011
11000,jeep,mpv,2019
4950,jeep,mpv,2019
22500,land,sport,2018
30300,maserati,ghibli,2017
2630,nissan,doors,2018
3140,nissan,doors,2017
2300,chevrolet,door,2011
4310,chevrolet,door,2011
26012,ford,door,2017
75,ford,door,2014
48500,gmc,1500,2019
3330,gmc,mpv,2009
11200,jeep,mpv,2019
4730,hyundai,mpv,2019
24900,mercedes-benz,glc,2018
29400,mercedes-benz,e-class,2017
8350,nissan,cab,2018
475,peterbilt,truck,2012
3210,nissan,doors,2017
25,chevrolet,van,2006
4200,chevrolet,cutaway,2006
8430,chevrolet,utility,2011
25503,ford,f-150,2017
0,ford,pickup,1996
26000,gmc,limited,2019
3900,honda,doors,2017
11200,jeep,mpv,2019
8610,jeep,mpv,2019
28000,mercedes-benz,gle,2018
84900,mercedes-benz,sl-class,2017
10840,lexus,mpv,2017
100,peterbilt,truck,2012
11050,ram,door,2017
0,chevrolet,door,2012
1000,chevrolet,door,2005
3570,dodge,door,2015
25001,ford,door,2017
0,ford,door,2010
5630,gmc,mpv,2017
11100,jeep,mpv,2019
4650,hyundai,mpv,2019
0,lincoln,door,2005
3820,nissan,mpv,2016
0,peterbilt,truck,2009
2900,nissan,doors,2017
50,chevrolet,door,2008
5100,chevrolet,pickup,2004
4700,dodge,door,2015
29502,ford,f-150,2017
0,ford,door,2008
6160,honda,door,2017
10910,jeep,mpv,2019
3440,hyundai,doors,2019
16000,mazda,cx-3,2016
3810,kia,door,2016
1025,peterbilt,truck,2010
3020,nissan,doors,2017
0,chevrolet,door,2003
2000,chevrolet,pickup,2003
3870,ford,door,2010
24811,ford,door,2017
75,ford,door,2007
5420,honda,doors,2017
11100,jeep,mpv,2019
4750,hyundai,mpv,2019
17900,mercedes-benz,door,2015
3800,nissan,door,2015
3160,nissan,doors,2017
25,chevrolet,pickup,2010
1200,chevrolet,door,2001
6470,chevrolet,coupe,2010
26400,ford,door,2017
0,gmc,door,1993
32500,gmc,2500hd,2018
6900,honda,mpv,2017
11030,jeep,mpv,2019
3460,hyundai,door,2012
18000,mercedes-benz,door,2015
3250,hyundai,door,2015
3210,nissan,doors,2017
13200,chevrolet,door,2017
27705,ford,f-150,2019
7200,chevrolet,door,2017
28714,ford,f-150,2019
11200,chevrolet,door,2017
27502,ford,f-150,2019
11900,chevrolet,door,2017
29314,ford,f-150,2019
11200,chevrolet,door,2017
27002,ford,f-150,2019
13200,chevrolet,door,2017
28214,ford,f-150,2019
12700,chevrolet,door,2017
29900,ford,f-150,2019
12700,chevrolet,door,2017
27202,ford,f-150,2019
13500,chevrolet,impala,2018
27705,ford,f-150,2019
14700,chevrolet,van,2016
29900,ford,f-150,2019
4500,chevrolet,door,2015
27705,ford,f-150,2019
8000,chevrolet,door,2015
25511,ford,f-150,2019
7700,chevrolet,colorado,2015
29900,ford,f-150,2019
7200,chevrolet,van,2015
27502,ford,f-150,2019
4500,chevrolet,door,2013
27402,ford,f-150,2019
1500,chevrolet,sonic,2013
26602,ford,f-150,2019
10200,chevrolet,sonic,2019
29900,ford,f-150,2019
14000,chevrolet,colorado,2019
28500,ford,f-150,2019
8000,chevrolet,door,2016
29809,ford,f-150,2019
36900,chevrolet,corvette,2015
26902,ford,f-150,2019
10950,chevrolet,door,2015
27402,ford,f-150,2019
16900,acura,mdx,2014
25600,ford,f-150,2019
29700,bmw,series,2016
27702,ford,f-150,2019
13500,buick,encore,2016
27102,ford,f-150,2019
27102,ford,f-150,2019
25811,ford,f-150,2019
26602,ford,f-150,2019
27102,ford,f-150,2019
37500,buick,enclave,2019
26211,ford,flex,2019
24205,ford,flex,2019
37500,cadillac,xt5,2019
27111,ford,flex,2019
27411,ford,flex,2019
27302,ford,flex,2019
27202,ford,f-150,2019
26311,ford,flex,2019
26602,ford,f-150,2019
33500,bmw,series,2017
27511,ford,flex,2019
21500,buick,door,2017
27200,ford,f-150,2019
26511,ford,flex,2019
24002,ford,flex,2019
21500,buick,door,2017
18511,ford,fusion,2019
14000,kia,sorento,2017
29000,buick,door,2017
23402,ford,flex,2019
13300,kia,door,2017
19700,bmw,x3,2017
23211,ford,flex,2019
15500,kia,sorento,2017
18111,ford,fusion,2019
21500,kia,sorento,2017
25511,ford,mustang,2019
17700,chevrolet,equinox,2017
28000,chevrolet,cutaway,2017
14000,chevrolet,door,2017
21700,chevrolet,door,2017
13500,chevrolet,door,2017
35500,chevrolet,1500,2017
29500,chevrolet,1500,2017
25300,chevrolet,1500,2017
21500,chevrolet,1500,2016
25900,chevrolet,door,2016
35300,chevrolet,door,2016
13500,chevrolet,door,2016
62000,chevrolet,corvette,2016
46000,chevrolet,corvette,2016
9000,chevrolet,malibu,2016
25900,chevrolet,door,2016
25800,chevrolet,door,2016
17000,chevrolet,door,2016
12800,chevrolet,door,2016
47400,chevrolet,3500,2016
24400,chevrolet,door,2016
17100,chevrolet,trax,2016
7400,chevrolet,door,2015
33100,chevrolet,door,2015
22000,chevrolet,trax,2020
35000,chevrolet,1500,2019
16500,chevrolet,equinox,2019
35300,chevrolet,1500,2019
26900,chevrolet,traverse,2018
11600,chevrolet,trax,2017
28100,chevrolet,1500,2017
27700,chevrolet,1500,2017
17700,chevrolet,passenger,2017
16600,chevrolet,volt,2017
63200,chevrolet,corvette,2016
36800,chevrolet,door,2015
19500,chevrolet,passenger,2018
38800,chevrolet,tahoe,2019
37500,chevrolet,tahoe,2019
35000,chevrolet,suburban,2019
31100,chevrolet,camaro,2019
22600,chevrolet,van,2019
22400,chevrolet,van,2019
22700,chevrolet,van,2019
13700,chevrolet,malibu,2019
37100,chevrolet,suburban,2019
18500,chevrolet,colorado,2018
18300,chevrolet,2500,2017
19000,chevrolet,2500,2017
18500,chevrolet,1500,2017
22500,chevrolet,door,2016
14500,chevrolet,door,2014
32800,chevrolet,tahoe,2018
12300,chevrolet,malibu,2018
19600,chevrolet,1500,2018
13600,chevrolet,malibu,2018
7200,chevrolet,spark,2018
19900,chevrolet,1500,2018
13000,chevrolet,malibu,2018
19700,chevrolet,door,2016
9400,chevrolet,door,2017
23800,chevrolet,1500,2017
17700,chevrolet,equinox,2019
17000,chevrolet,door,2015
14000,chevrolet,door,2014
32100,chevrolet,2500,2018
33100,chevrolet,2500,2019
31600,chevrolet,2500,2018
5100,chevrolet,door,2013
4100,chevrolet,door,2013
7200,chevrolet,door,2014
12800,chevrolet,1500,2014
46800,chevrolet,1500,2019
21800,chevrolet,van,2019
3000,chevrolet,door,2013
22500,chevrolet,colorado,2017
35300,chevrolet,suburban,2018
16500,chevrolet,volt,2017
33000,chevrolet,door,2017
31500,chevrolet,1500,2017
34500,chevrolet,1500,2017
8000,chevrolet,trax,2016
25000,chevrolet,1500,2017
10700,chevrolet,trax,2016
13400,chevrolet,door,2016
16500,chevrolet,equinox,2019
34000,chevrolet,traverse,2019
14100,chevrolet,trax,2018
38600,chevrolet,1500,2019
9100,chevrolet,door,2016
8600,chevrolet,door,2016
22000,chevrolet,door,2016
8900,chevrolet,colorado,2015
15500,chevrolet,door,2015
3300,chevrolet,door,2015
29000,chevrolet,1500,2015
17300,chevrolet,equinox,2020
30500,chevrolet,traverse,2020
25000,chevrolet,impala,2020
2800,chevrolet,cruze,2012
3300,chevrolet,door,2012
36400,chevrolet,suburban,2019
34800,chevrolet,suburban,2019
20700,chevrolet,ld,2019
32200,chevrolet,suburban,2019
35300,chevrolet,tahoe,2019
33500,chevrolet,suburban,2019
13700,chevrolet,impala,2019
15900,chevrolet,malibu,2019
33200,chevrolet,suburban,2019
35500,chevrolet,suburban,2019
29800,chevrolet,suburban,2018
29800,chevrolet,suburban,2018
29500,chevrolet,suburban,2018
30300,chevrolet,suburban,2018
24300,chevrolet,1500,2018
29800,chevrolet,suburban,2017
29800,chevrolet,suburban,2017
27500,chevrolet,camaro,2016
10800,chevrolet,door,2017
11500,chevrolet,van,2017
10400,chevrolet,van,2017
11400,chevrolet,equinox,2018
11400,chevrolet,equinox,2018
8000,chevrolet,door,2015
3000,chevrolet,door,2012
25000,chevrolet,door,2015
12300,chevrolet,traverse,2017
14100,chevrolet,traverse,2017
9000,chevrolet,van,2014
4200,chevrolet,door,2014
22500,chevrolet,van,2019
22600,chevrolet,van,2019
22600,chevrolet,van,2019
22500,chevrolet,van,2019
10200,chevrolet,malibu,2018
42700,chevrolet,3500,2016
21200,chevrolet,tahoe,2015
22700,chevrolet,door,2016
22000,chevrolet,tahoe,2015
9600,chevrolet,1500,2014
10500,chevrolet,door,2013
6700,chevrolet,door,2013
14200,chevrolet,door,2013
15500,chevrolet,equinox,2019
35100,chevrolet,1500,2018
26300,chevrolet,camaro,2018
15700,chevrolet,colorado,2016
17600,chevrolet,1500,2016
18600,chevrolet,1500,2016
19100,chevrolet,1500,2016
15200,chevrolet,equinox,2019
16100,chevrolet,equinox,2019
14800,chevrolet,equinox,2019
16700,chevrolet,equinox,2019
15300,chevrolet,equinox,2019
16500,chevrolet,equinox,2019
19600,chevrolet,passenger,2019
15200,chevrolet,impala,2019
15000,chevrolet,impala,2019
15500,chevrolet,impala,2019
15700,chevrolet,impala,2019
14800,chevrolet,impala,2019
9200,chevrolet,cruze,2017
8200,chevrolet,impala,2017
11400,chevrolet,door,2013
6500,chevrolet,door,2015
11500,chevrolet,door,2014
23800,chevrolet,door,2015
8900,chevrolet,door,2014
28300,chevrolet,ld,2019
27300,chevrolet,ld,2019
3500,chevrolet,door,2013
28300,chevrolet,colorado,2020
18300,chevrolet,impala,2019
22500,dodge,charger,2018
22500,dodge,charger,2018
8300,dodge,door,2012
16500,dodge,caravan,2019
14500,dodge,journey,2019
30000,dodge,charger,2019
30000,dodge,charger,2019
30000,dodge,charger,2019
30000,dodge,charger,2019
30000,dodge,charger,2019
29500,dodge,charger,2019
21600,dodge,challenger,2019
22600,dodge,charger,2019
16300,dodge,caravan,2019
8600,dodge,door,2012
28800,dodge,durango,2019
22100,dodge,challenger,2019
14300,dodge,journey,2018
13700,dodge,caravan,2018
29500,dodge,challenger,2017
18500,dodge,journey,2017
19000,dodge,door,2016
43400,dodge,challenger,2015
46000,dodge,challenger,2015
12500,dodge,journey,2018
13900,dodge,charger,2017
13000,dodge,caravan,2018
13000,dodge,caravan,2018
3000,dodge,door,2013
17500,dodge,caravan,2019
7900,dodge,door,2017
8900,dodge,door,2014
11500,dodge,caravan,2018
6500,dodge,journey,2017
8000,dodge,door,2017
18700,dodge,challenger,2018
8350,dodge,journey,2017
27900,dodge,charger,2017
14500,dodge,door,2016
6200,dodge,door,2016
7500,dodge,door,2012
20200,dodge,caravan,2019
29300,dodge,durango,2019
31000,dodge,durango,2019
32400,dodge,durango,2019
5800,dodge,door,2012
21500,dodge,charger,2019
23100,dodge,charger,2018
4500,dodge,van,2014
24800,dodge,charger,2018
23000,dodge,charger,2018
26900,dodge,journey,2019
21500,dodge,challenger,2018
15700,dodge,journey,2018
15200,dodge,caravan,2018
23300,dodge,charger,2018
6100,dodge,door,2015
20000,dodge,journey,2017
53000,dodge,challenger,2017
3000,dodge,door,2013
18200,dodge,door,2016
21800,dodge,challenger,2019
52000,dodge,charger,2016
19000,dodge,charger,2019
25000,dodge,challenger,2016
36000,dodge,challenger,2016
17000,dodge,caravan,2019
25300,dodge,door,2015
14900,dodge,journey,2017
15000,dodge,caravan,2017
12995,dodge,doors,2014
17750,dodge,doors,2014
10295,dodge,doors,2014
16995,dodge,doors,2014
25000,dodge,doors,2014
23995,dodge,doors,2014
14900,dodge,doors,2014
15810,dodge,doors,2014
20227,dodge,doors,2014
20999,dodge,doors,2014
22499,dodge,doors,2014
23495,dodge,doors,2014
25250,dodge,doors,2014
15322,dodge,doors,2014
21232,dodge,charger,2019
5800,dodge,journey,2013
29000,dodge,door,2012
17000,dodge,caravan,2018
13800,dodge,journey,2018
30000,dodge,durango,2019
14800,dodge,caravan,2017
8500,dodge,journey,2017
9800,dodge,door,2013
4200,dodge,door,2014
2500,dodge,van,2013
28700,dodge,charger,2018
18500,dodge,challenger,2018
17300,dodge,challenger,2018
7100,dodge,door,2016
3250,dodge,door,2015
30700,dodge,durango,2017
3000,dodge,door,2012
26500,dodge,durango,2019
20800,dodge,charger,2019
20800,dodge,charger,2019
5100,dodge,door,2015
18900,dodge,challenger,2019
24000,dodge,durango,2019
38800,dodge,challenger,2015
24500,dodge,durango,2019
24500,dodge,durango,2019
6500,dodge,door,2016
24000,dodge,durango,2019
18000,dodge,door,2014
24000,dodge,durango,2019
23500,dodge,durango,2019
4500,dodge,van,2014
25900,dodge,durango,2019
13900,dodge,caravan,2019
14200,dodge,journey,2019
15400,dodge,caravan,2019
17500,dodge,challenger,2019
17500,dodge,caravan,2019
18000,dodge,caravan,2019
25200,dodge,door,2012
14100,dodge,caravan,2018
13300,dodge,caravan,2018
16200,dodge,caravan,2019
13300,dodge,caravan,2018
13100,dodge,caravan,2018
15500,dodge,caravan,2017
4500,dodge,door,2013
28400,dodge,durango,2019
17400,dodge,caravan,2019
6000,dodge,door,2014
20700,dodge,challenger,2019
20300,dodge,challenger,2019
14000,dodge,journey,2018
22000,dodge,challenger,2019
17200,dodge,journey,2019
15000,dodge,door,2016
17500,dodge,journey,2019
1300,dodge,door,2013
1750,dodge,door,2014
16300,dodge,caravan,2019
15700,dodge,caravan,2019
10000,dodge,journey,2017
23100,dodge,charger,2019
14900,dodge,caravan,2019
16700,dodge,journey,2019
16300,dodge,caravan,2019
25800,dodge,durango,2019
23800,dodge,challenger,2019
16800,dodge,journey,2019
15500,dodge,journey,2019
6000,dodge,door,2014
26900,dodge,durango,2019
16900,dodge,caravan,2019
19500,dodge,caravan,2019
15400,dodge,caravan,2019
2300,dodge,door,2012
17000,dodge,charger,2019
34000,dodge,durango,2019
13700,dodge,journey,2017
19100,dodge,challenger,2018
11800,dodge,journey,2018
27500,dodge,durango,2019
26900,dodge,durango,2019
27100,dodge,durango,2019
27200,dodge,durango,2019
9000,dodge,caravan,2017
22500,dodge,challenger,2019
7700,dodge,door,2015
4500,dodge,van,2013
2200,dodge,door,2013
21500,dodge,charger,2019
18800,dodge,challenger,2019
21800,dodge,charger,2019
20300,dodge,challenger,2019
8200,dodge,van,2016
19000,dodge,caravan,2019
8400,dodge,door,2016
19500,dodge,caravan,2019
7000,dodge,door,2015
19500,dodge,challenger,2019
8500,dodge,van,2014
20500,dodge,challenger,2019
4900,dodge,door,2014
20800,dodge,door,2014
28500,dodge,durango,2019
21900,dodge,caravan,2019
15800,dodge,caravan,2019
33000,dodge,durango,2019
22700,dodge,challenger,2019
21900,dodge,charger,2019
19300,dodge,charger,2019
30700,dodge,durango,2019
19300,dodge,challenger,2019
13750,dodge,caravan,2014
16400,dodge,caravan,2019
19500,dodge,caravan,2019
15100,dodge,caravan,2019
28500,dodge,durango,2019
15300,dodge,caravan,2019
20300,dodge,challenger,2019
22000,dodge,charger,2019
16700,dodge,journey,2019
19300,dodge,challenger,2019
34100,dodge,durango,2019
14600,dodge,caravan,2019
18200,dodge,caravan,2019
33800,dodge,durango,2019
15900,dodge,journey,2019
16500,dodge,caravan,2019
29600,dodge,durango,2019
14100,dodge,caravan,2019
18200,dodge,caravan,2019
18200,dodge,caravan,2019
24300,dodge,charger,2019
15400,dodge,journey,2019
19000,dodge,journey,2019
19000,dodge,journey,2019
27800,dodge,challenger,2017
18200,dodge,journey,2019
15000,dodge,journey,2018
19200,dodge,caravan,2017
15500,dodge,caravan,2018
24900,dodge,challenger,2017
15500,dodge,journey,2018
7600,dodge,door,2012
18400,dodge,journey,2017
14700,dodge,caravan,2018
3900,dodge,door,2015
5200,dodge,door,2015
17200,dodge,caravan,2019
18700,dodge,caravan,2019
32000,dodge,durango,2019
14500,dodge,door,2015
19400,dodge,caravan,2019
